acpi_call 1.2.2-29
adwaita-icon-theme 41.0-1
alsa-utils 1.2.6-1
android-tools 31.0.3-3
ani-cli 1.9-1
appmenu-gtk-module 0.7.6-1
arandr 0.1.10-7
arch-wiki-docs 20211222-1
arch-wiki-lite 20211222-1
aria2 1.36.0-1
arj 3.10.22-13
audacity 1:2.4.1-7
autoconf 2.71-1
automake 1.16.5-1
base 2-2
bear 3.0.19-2
bison 3.8.2-3
bleachbit 4.4.2-2
blender 17:3.1.0-2
blueman 2.2.4-1
brightnessctl 0.5.1-2
ccls 0.20210330-5
cheese 41.1-2
clang 13.0.1-2
cmake 3.22.3-1
coin-or-mp 1.8.4-4
cpio 2.13-2
cpupower 5.17-1
dconf-editor 3.38.3-1
desmume 0.9.11-8
dialog 1:1.3_20220117-1
discord 0.0.17-1
dmenu 5.1-1
dmidecode 3.3-1
dosfstools 4.2-2
dropbox 143.4.4161-1
efibootmgr 17-2
engrampa 1.26.0-1
evince 41.4-1
evtest 1.34-2
exo 4.16.3-1
fakeroot 1.28-1
feh 3.8-2
ffmpegthumbnailer 2.2.2-4
filezilla 3.58.0-1
firefox 98.0.2-1
flatpak 1:1.12.7-1
flex 2.6.4-3
freeciv 3.0.0-1
fzf 0.29.0-1
galculator 2.1.4-6
gamemode 1.6.1-2
garcon 4.16.1-1
gcc 11.2.0-4
geany 1.38-1
geany-plugins 1.38-3
ghex 3.41.1-1
gimp 2.10.30-1
git 2.35.1-1
glfw-x11 3.3.6-1
gmrun 1.3w-1
gnome-boxes 42.0.1-1
gnome-calendar 41.2+r5+g2222a4ee-1
gnome-chess 41.1-1
gnome-clocks 41.0-1
gnome-disk-utility 41.0-1
gnome-keyring 1:40.0-1
gnome-power-manager 3.32.0-2
gnome-sound-recorder 40.0-1
gnome-system-monitor 41.0-1
gnome-weather 41.0-1
gnuchess 6.2.9-1
gnugo 3.8-7
google-chrome 100.0.4896.60-1
gparted 1.4.0-1
gpick 0.2.6-3
grilo-plugins 1:0.3.14-1
groff 1.22.4-6
grub 2:2.06-5
gsimplecal 2.2-1
gst-plugins-ugly 1.20.1-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gvfs 1.50.0-1
gvfs-afc 1.50.0-1
gvfs-goa 1.50.0-1
gvfs-google 1.50.0-1
gvfs-gphoto2 1.50.0-1
gvfs-mtp 1.50.0-1
gvfs-nfs 1.50.0-1
gvfs-smb 1.50.0-1
gzdoom 4.7.1-1
hddtemp 0.3.beta15.53-3
hexchat 2.16.1-1
hsetroot 1.0.5-1
htop 3.1.2-1
hunspell-en_us 2020.12.07-4
imagemagick 7.1.0.29-1
inkscape 1.1.2-2
innoextract 1.9-5
intel-gpu-tools 1.26-1
intel-media-driver 22.2.2-1
intel-ucode 20220207-1
jre-openjdk 17.0.3.u3-1
kdenlive 21.12.3-1
kimageformats 5.92.0-1
kiwix-desktop 2.2.1-2
kiwix-tools 3.2.0-3
kolourpaint 21.12.3-1
krita 5.0.2-3
lhasa 0.3.1-3
lib32-gamemode 1.6.1-2
lib32-gst-plugins-base-libs 1.20.1-1
lib32-gst-plugins-good 1.20.1-1
lib32-gtk3 3.24.31-1
lib32-libxslt 1.1.35-1
lib32-ocl-icd 2.3.1-1
lib32-v4l-utils 1.22.1-1
lib32-vkd3d 1.3-1
libayatana-appindicator 0.5.90-1
libgccjit 11.2.0-4
libjxl 0.6.1-3
libmythes 1:1.2.4-4
libreoffice-still 7.2.6-1
libva-intel-driver 2.4.1-2
libva-mesa-driver 22.0.0-1
libva-utils 2.14.0-1
libvdpau-va-gl 0.4.2-3
libvterm 0.2-1
light-locker 1.9.0-5
lightdm 1:1.30.0-4
lightdm-gtk-greeter 1:2.0.8-2
lightdm-gtk-greeter-settings 1.2.2-7
links 2.25-1
linux 5.17.1.arch1-1
linux-dwarf-pack 0.47.05.r3-1
linux-firmware 20220309.cd01f85-1
llvm 13.0.1-2
lmms 1.2.2-8
lrzip 0.641-1
lsb-release 2.0.r48.3cf5103-1
lutris 0.5.9.1-5
lxrandr 0.3.2-2
ly 0.5.3-0
lzip 1.22-1
lzop 1.04-3
m4 1.4.19-1
make 4.3-3
mangohud 0.6.6.1-1
mesa-utils 8.4.0-7
mgba-qt 0.9.3-3
mlocate 0.26.git.20170220-7
mousepad 0.5.8-1
mpc 0.34-2
mpd 0.23.6-1
mpv 1:0.34.1-4
mtools 1:4.0.38-1
mupdf 1.19.0-2
mupdf-tools 1.19.0-2
ncdu 2.1.1-1
ncmpcpp 0.9.2-5
neofetch 7.1.0-2
net-tools 2.10-1
network-manager-applet 1.26.0-1
